amfi_code,alpha,beta
100016,0.03622082583927385,-0.02590940576586108
100025,0.043189313078713834,-0.0161756408512603
100033,0.2723430403957973,-0.011199710059456146
101206,0.2139447485061358,0.03381398454659163
101207,0.10820454812152297,-0.059855845864600625
101208,0.06084211292226629,0.0013273169546884351
102885,0.16992711557794749,-0.0018841874054637252
102886,0.028949366251249286,-0.061476067471883084
102887,0.16179316452470288,0.04011620562000178
118632,0.21728068775563278,0.03643421773147288
118633,0.15503795076034138,0.013157652619096481
118634,0.1780020912356628,0.009128170084160621
118635,0.15160602363545675,-0.013806609371555967
118636,0.05096267106480351,-0.008492388448091663
119092,0.0697017081135713,-0.019608739866468185
119093,0.08329931222337687,-0.008427720099019357
119094,0.25997054053321056,-0.05986815058386661
119095,0.045680128064692294,0.013291723470735529
119120,0.055762723198290544,0.011990672594122526
119551,0.23219648016717326,-0.05604508562674625
119552,0.1982932218749148,-0.01985302504967574
119598,0.3011144193310002,0.07426648483802883
119599,0.050572431452751046,0.007680982959652928
120503,0.17587937785242744,-0.004111147836045636
120504,0.2120943009940057,0.017025361766949257
120505,0.29301371282563315,-0.017391171743071674
120506,0.16283731486753183,0.04770801520256509
120507,0.06747180157927476,-0.0011254611770458527
120841,0.13068278268538389,0.04167578236653616
120842,0.0785865149291694,0.0006475555544426223
120843,0.2727835993505962,-0.008737359353900992
120844,0.06454601487990588,-7.563158272733894e-05
125497,0.1789129568352085,-0.005459316559048835
125498,0.12055386350487392,-0.01851286878959152
148567,0.2711501636821103,-0.028133312231657458
148568,0.2079171509667248,5.11619674095988e-05
148569,0.28347336470728673,-0.010201365088271732
149322,0.13129906992674878,0.014848756863667921
149323,0.26583594480787764,0.003478530079790704
149324,0.2981786893056835,0.13260808824054152
